title,home_type,home_status,year_built,address,city,state,postal_code,bedrooms,bathrooms,square_footage,price,offer,monthly_p_i,total_expense,rent_zestimate,days_on_zillow,price_reduction,url
House for sale,SINGLE_FAMILY,FOR_SALE,1975,"2131 Heatherfield Ave, Columbus, OH 43235",Columbus,OH,43235,4,3,2132,289900,179300,684.8044998,1699.971166,1800,30,"$10,000 (Oct 31)",https://www.zillow.com/homedetails/2131-Heatherfield-Ave-Columbus-OH-43235/34118360_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,2005,"5587 Eagle Harbor Dr, Westerville, OH 43081",Westerville,OH,43081,3,3,2024,290000,211000,805.8770187,1849.710352,1950,18,"$9,000 (Nov 4)",https://www.zillow.com/homedetails/5587-Eagle-Harbor-Dr-Westerville-OH-43081/71975284_zpid/
Apartment for sale,MULTI_FAMILY,FOR_SALE,1899,"201-203 S 22nd St, Columbus, OH 43205",Columbus,OH,43205,0,,1448,294000,79800,304.7819246,1189.881925,1290,30,"$5,000 (Nov 2)",https://www.zillow.com/homedetails/201-203-S-22nd-St-Columbus-OH-43205/33834953_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1987,"2433 Roscoe Ct, Dublin, OH 43016",Dublin,OH,43016,4,3,2212,294750,234450,895.4401282,1969.990128,2070,0,,https://www.zillow.com/homedetails/2433-Roscoe-Ct-Dublin-OH-43016/34107375_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1988,"5700 Keating Dr, Dublin, OH 43016",Dublin,OH,43016,3,3,2242,295000,197200,753.1703701,1794.887037,1895,0,,https://www.zillow.com/homedetails/5700-Keating-Dr-Dublin-OH-43016/34106555_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1995,"847 Claytonbend Dr, Galloway, OH 43119",Galloway,OH,43119,4,3,2140,295000,219400,837.9593266,1899.625993,2000,1,,https://www.zillow.com/homedetails/847-Claytonbend-Dr-Galloway-OH-43119/34087583_zpid/
Apartment for sale,MULTI_FAMILY,FOR_SALE,1900,"204-206 E Blake Ave, Columbus, OH 43202",Columbus,OH,43202,0,,2184,295000,123900,473.2140409,1399.880708,1500,4,,https://www.zillow.com/homedetails/204-206-E-Blake-Ave-Columbus-OH-43202/33839979_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1919,"900 Gilbert St, Columbus, OH 43206",Columbus,OH,43206,3,3,1844,295000,60400,230.6870708,1149.853737,1250,30,,https://www.zillow.com/homedetails/900-Gilbert-St-Columbus-OH-43206/33840921_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1972,"5704 Shadowbrook Dr, Columbus, OH 43235",Columbus,OH,43235,4,3,2425,299900,226900,866.6042443,1944.987578,2045,0,,https://www.zillow.com/homedetails/5704-Shadowbrook-Dr-Columbus-OH-43235/33932364_zpid/
Apartment for sale,MULTI_FAMILY,FOR_SALE,1899,"556 E Whittier St # 558, Columbus, OH 43206",Columbus,OH,43206,0,,1768,299900,0,1145.414777,0,,10,,https://www.zillow.com/homedetails/556-E-Whittier-St-558-Columbus-OH-43206/2082218527_zpid/
